epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3528216089100492;0.87466794;0.4722654866658666;0.8239505462043378;0.4731290808638875;0.8789275;0.7047354;0.9916496;0.12732764;0.87274987;0.46324836940268316;0.8262734050330289;0.3134984615739275;0.45871559633027525;0.87834394;0.6585366;0.98994976;0.123853214
1;0.3220156185772006;0.87923163;0.5017053600434421;0.8346665687136546;0.4952189229994967;0.89281344;0.6371795;0.977706;0.25012583;0.8795779;0.48808473324942864;0.8318344672247211;0.30549764339965296;0.4908256880733945;0.89440787;0.6318681;0.9759512;0.26376146
2;0.3175844790321484;0.8815476;0.5186097902957247;0.8386432204793581;0.5093105183694011;0.88933116;0.70261437;0.9856625;0.21640664;0.8786468;0.5012770384277331;0.8353357547896758;0.3012106209244142;0.49770642201834864;0.88892496;0.6573427;0.98241204;0.21559633
3;0.3113661966184212;0.88468087;0.5299565335305997;0.8425410750467291;0.5113236034222446;0.8927526;0.7174556;0.9849535;0.24408656;0.8792675;0.5132080090579729;0.8373140275426939;0.30466107028397177;0.505720823798627;0.89051807;0.6535948;0.9809763;0.2293578
4;0.30958209638897116;0.8850896;0.542499337320177;0.8483914746307909;0.5223955712128837;0.897623;0.6785714;0.9787301;0.2868646;0.8845438;0.5249416219851746;0.8426067098269856;0.29433146842901636;0.5194508009153318;0.8988764;0.6632653;0.97631013;0.29816514
5;0.3073385616914265;0.8833867;0.5429435169801209;0.8484634130038096;0.5256539235412475;0.88767296;0.7659575;0.99046797;0.19929542;0.8814401;0.522672350304903;0.8396084287755948;0.3000008634006585;0.5080091533180778;0.88749194;0.725;0.98815507;0.19954129
6;0.30654756565581515;0.8856345;0.5570452579662225;0.8552061140441068;0.530827067669173;0.8910188;0.75838923;0.98865604;0.22747861;0.8857852;0.5399040540593081;0.845448573140934;0.2936203706336643;0.518348623853211;0.8932986;0.7297297;0.9856425;0.24770643
7;0.3017304687555297;0.8884953;0.569710113016758;0.8584462151931465;0.5344740815299447;0.9080375;0.65459365;0.96919805;0.372924;0.8836127;0.5440988473095208;0.8463722610430924;0.2911283841494223;0.5114678899082569;0.9076767;0.61509436;0.9633884;0.3738532
8;0.3025862923819808;0.8899258;0.5733341351974514;0.8619412624472813;0.5442211055276381;0.89848924;0.737516;0.98385066;0.28988424;0.88982;0.549102591694629;0.8511537043013231;0.28700084813184285;0.5238095238095238;0.899179;0.7288136;0.982771;0.29587156
9;0.2968424008450613;0.8905388;0.5797546157520532;0.864508762605272;0.5379969803724207;0.89815414;0.75065964;0.98511106;0.28636134;0.8879578;0.550500245101277;0.8525400594058102;0.2877070266617003;0.5137614678899083;0.8984555;0.7094972;0.9813352;0.2912844
0;0.3467448486112767;0.87603027;0.4795024194172073;0.8253318858700983;0.4886763965777554;0.88467526;0.65265083;0.9850323;0.17966785;0.87368095;0.4661192585998846;0.8253678286583638;0.30944749038645675;0.47649572649572647;0.8845781;0.6124031;0.9820531;0.18119267
0;0.35003407058862956;0.8710578;0.47321459397339477;0.8252298955341435;0.48968293910417715;0.8726796;0.7473684;0.9962187;0.071464516;0.8733706;0.47268154681300845;0.8260700619743541;0.3121310000479554;0.4726027397260274;0.8738994;0.8333333;0.9974874;0.08027523
